2362,16569,0
1175,13236,0.04
1097,11173,0.08
1287,9650,0.12
100,4952,0.16
223,4000,0.20
268,4254,0.22
1343,8348,0.26
1377,10824,0.30
1578,12697,0.34
2418,17458,0.38
3370,21457,0.43
2911,20124,0.47
2833,19616,0.51
3191,20473,0.55
3998,21997,0.57
3057,18220,0.61
2866,17077,0.65
2049,14157,0.69
705,9428,0.73
2396,12951,0.77
1623,9142,0.81
1164,7079,0.85
794,6254,0.88
447,7491,0.92
750,10761,0.96
1578,13744,0.99
